number,administrative_dong,location,note,data_reference_date,latitude,longitude
1,대연1동,"유엔평화로 24, 동 행정복지센터",동 행정복지센터,2023-06-16,35.136769,129.101569
2,대연1동,유엔로183번길 41,일반주택,2023-06-16,35.134465,129.101730
3,대연1동,대연동 367-1 대연성당 주변 삼각화단,일반주택,2023-06-16,35.132499,129.098569
4,대연1동,대연동 1750-7 대연1동 공영주차장,일반주택,2023-06-16,35.132421,129.092423
5,대연3동,"수영로 325번길 159-62, 우영연립 입구",일반주택,2023-06-16,35.139256,129.100238
6,대연4동,수영로 168번길 85 (부산공고 주거지주차장),일반주택,2023-06-16,35.139811,129.093207
7,대연4동,석포로 83번길 53앞,일반주택,2023-06-16,35.136965,129.092623
8,대연5동,진남로 46번길 7,동 행정복지센터,2023-06-16,35.133321,129.087932
9,대연5동,"못골번영로 70, 나사함 발달장애인복지관 앞",일반주택,2023-06-16,35.132986,129.089642
10,대연6동,"못골로 13 (대연동), 동 행정복지센터",동 행정복지센터,2023-06-16,35.134745,129.088956
11,대연6동,수영로 69번가길 70 (대연동),일반주택,2023-06-16,35.133451,129.092329
12,중앙동,중앙대로41번길 10,동 행정복지센터,2024-05-29,35.101302,129.035342
13,동광동,동광길 105,동광동주민센터,2024-05-29,35.107387,129.035209
14,동광동,샘길 18-8,다목적커뮤니티센터,2024-05-29,35.106473,129.033332
15,대청동,대청로99번길 14-1,대청동주민센터,2024-05-29,35.104236,129.031092
16,대청동,망양로355번길 37,대청공원 원로의집,2024-05-29,35.106272,129.028870
17,보수동,보수대로140번길 61,보수동행정복지센터,2024-05-29,35.106181,129.024693
18,부평동,중구로29번길 23,부평동주민센터,2024-05-29,35.100361,129.026538
19,광복동,광복로55번길 10,광복동주민센터,2024-05-29,35.099959,129.030401
20,남포동,자갈치로 68-1,남포동주민센터,2024-05-29,35.097364,129.031677
21,영주1동,대영로224번길 10,영주1동주민센터,2024-05-29,35.111103,129.035020
22,영주동,초량상로7번길 4 맞은편,영주배수지 체육공원,2024-05-29,35.112957,129.035018
23,영주2동,동영로 71-2,영주2동주민센터,2024-05-29,35.111563,129.031805
24,영주동,영주로 17,영주동오름길 모노레일,2024-05-29,35.109361,129.031924
25,영주동,영초길 87,영주아파트 3-가동,2024-05-29,35.114133,129.032243
26,영주동,영주동 245-3,중구시니어컨설팅센터,2024-05-29,35.109919,129.029848
27,봉래동5가,영도구 태종로 194,탑마트 봉래점,2023-12-14,35.094215,129.049421
28,동삼동,영도구 동삼로 56,탑마트 동삼점,2023-12-14,35.078408,129.070791
29,동삼동,영도구 절영로 531,우리마트,2023-12-14,35.0739004,129.073228
30,동삼동,영도구 태종로 800,동삼동새마을금고 지점,2023-12-14,35.065249,129.080952
31,동삼동,영도구 동삼로 65-1,동삼동새마을금고 본점,2023-12-14,35.079261,129.070120
32,청학동,영도구 태종로 361,영도새마을금고 본점,2023-12-14,35.094684,129.064587
33,청학동,영도구 태종로 321,BNK부산은행 청학동지점,2023-12-14,35.096815,129.061179
34,영선동2가,영도구 영선대로 99,영도중앙새마을금고 본점,2023-12-14,35.089762,129.042831
35,영선동4가,영도구 절영로 140,영도중앙새마을금고 절영지점,2023-12-14,35.083881,129.041622
36,신선동3가,영도구 산정길 138,영도종합사회복지관,2023-12-14,35.081215,129.047511
37,청학동,영도구 봉래길 372,영도구노인복지관분관,2023-12-14,35.091098,129.056572
